title,id
"Братский народ",a24022b23a
"Высокоточное оружие",b3253369b5
"Фейк",aedb89e9e1
"Геноцид",8536ffb600
"«Своих не бросаем»",6cb1f1bbd1
"Рашизм",d2835dcfef
"Трофей",916e54c17e
"«Я вне политики»",ee0f9c27ec
"Провокация",8a93cb74a5
"«Переобувание»",d3a627f055
"Выпуск 11. Можем повторить",9f3421dca4
"Выпуск 12. Чей Донбасс?",78eaa4b398
"Выпуск 13. Традиционные ценности",d4438eb6c2
"Выпуск 14. *** ****",5c2b496925
"Выпуск 15. Живой щит",327d9b75f5
"Выпуск 16. Патриотизм",b2b73e9836
"Выпуск 17. Деколонизация Украины",02603ef02c
""Выпуск 18. Оккупация"",dc189a62b4
""Выпуск 19. Англосаксы"",0ca4291d92
"Выпуск 20. Русская душа",697050df31
"#21. Все не так однозначно (можно ли доверять своим убеждениям?)",1827a9760d
"#22. Переписывание истории. Как узнать, что было на самом деле?",4f454d57e2
"#23. Дискредитация. Можно ли наказывать за слова?",83c26ba785
"#24. Либералы. Как это слово стало ругательным?",d7b32d1ced
"#25. Двойные стандарты. Почему Косово — это правда другое",a8ca502ad2
